Seccion Nro;Seccion Nombre;Circuito Nro;Circuito Nombre;Escuela;Mesas;Desde;Hasta;Electores
6;GRAL SAN MARTIN;89;VILLA MARIA;INSTITUTO DEL ROSARIO - BV.ALVEAR 68;31;4295;4325;10695
6;GRAL SAN MARTIN;89;VILLA MARIA;ESC.N.V.MERCANTE - SOBRAL 378;30;4367;4396;10337
1;CAPITAL;4A;PUEBLO LAS FLORES;ESC SAN FRANCISCO DE ASIS - GUARDADO 184 B°LAS FLORES;29;203;231;9802
3;COLON;41;VILLA ALLENDE;INST GRAL S.MARTIN/17 DE AGOST - 25 DE MAYO ESQ. TABLADA;28;3867;3894;9655
6;GRAL SAN MARTIN;89;VILLA MARIA;INST.LA SANTISIMA TRINIDAD - SARSFIELD 1.072;27;4326;4352;9315
13;RIO CUARTO;188;RIO CUARTO;ESC.NORMAL COMERCIAL - BAIGORRIA 463;27;6059;6085;9288
1;CAPITAL;10G;OBSERVATORIO;E.N.E.T. N° 4 COPERNICO - MARIANO MORENO 551 B° OBSERVATORIO;26;1378;1403;8840
1;CAPITAL;13G;PARQUE LICEO;ESC ESPIRITU SANTO - ISAAC 4.847;25;2596;2620;8480
13;RIO CUARTO;188;RIO CUARTO;ESC.NORM.NAC.MIXTA - CONSTITUCION 1040;24;5906;5929;8280
26;UNION;375;BELL VILLE;ESC.NORMAL F.ALCORTA - 25 DE MAYO 135;22;8154;8175;7568
1;CAPITAL;4B;VILLA REVOL;INST EDUC NTRA SEÑORA - INCA MANCO 3450 - B°JARDIN ESPINOSA;22;232;253;7464
12;PUNILLA;156;VILLA CARLOS PAZ;INST ALFONSINA STORNI(EX IESS) - SOLIS 283 B° VILLA DOMINGUEZ;21;5324;5344;7245
1;CAPITAL;4;NUEVA CORDOBA;COL NACIONAL DEAN FUNES - PERU 10;20;134;153;6880
1;CAPITAL;7B;ALTA CORDOBA;ESC MANUEL LUCERO - MANUEL LUCERO 560 B°ALTA CORDOBA;19;673;691;6527
1;CAPITAL;10G;OBSERVATORIO;COL   NUESTRA SEÑORA DE NIEVA - AYACUCHO 442 B° GUEMES;19;1414;1432;6445
1;CAPITAL;11D;LOS NARANJOS;INST JESUS MARIA - VIEYTES SUD 1607 B° LOS NARANJOS;18;1782;1799;6196
13;RIO CUARTO;186;PUEBLO ALBERDI;INST LANTERIANO LA MERCED - BELISARIO ROLDAN 275;18;5876;5893;6156
20;SAN JUSTO;298;LAS VARILLAS;ESC NORM SUP D VELEZ SARSFIELD - ESCRIBANO LUIS MORELLI 188;18;7159;7176;6156
1;CAPITAL;10;BELLA VISTA;INST EDUCACION CORDOBA - FERREYRA Y FRIULI B°COL DE V SARSF;18;1188;1205;6138
13;RIO CUARTO;165;BANDA NORTE;MERC DEL NIÑO JESUS/S FCO ASIS - VICTOR HUGO 885;18;5618;5635;6138
