vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_mesCodigoCircuito,vot_mesCodigoMesa,vot_mesCodSexo,vot_parCodigo,ordenPartidos,votVotosPartido,votOrdenActa,rowid
04,001,112,0001 ,0001,X,0013,1,1,,485882
04,001,112,0001 ,0001,X,0057,2,2,,485883
04,001,112,0001 ,0001,X,0081,3,1,,485884
04,001,112,0001 ,0001,X,0131,4,30,,485885
04,001,112,0001 ,0001,X,0132,5,8,,485886
04,001,112,0001 ,0001,X,0133,6,6,,485887
04,001,112,0001 ,0001,X,0134,7,1,,485888
04,001,112,0001 ,0001,X,0135,8,114,,485889
04,001,112,0001 ,0001,X,0136,9,0,,485890
04,001,112,0001 ,0001,X,0137,10,15,,485891
04,001,112,0001 ,0001,X,0138,11,30,,485892
04,001,112,0001 ,0002,X,0013,1,1,,485893
04,001,112,0001 ,0002,X,0057,2,2,,485894
04,001,112,0001 ,0002,X,0081,3,0,,485895
04,001,112,0001 ,0002,X,0131,4,24,,485896
04,001,112,0001 ,0002,X,0132,5,17,,485897
04,001,112,0001 ,0002,X,0133,6,4,,485898
04,001,112,0001 ,0002,X,0134,7,0,,485899
04,001,112,0001 ,0002,X,0135,8,118,,485900
04,001,112,0001 ,0002,X,0136,9,3,,485901
04,001,112,0001 ,0002,X,0137,10,10,,485902
04,001,112,0001 ,0002,X,0138,11,46,,485903
04,001,112,0001 ,0003,X,0013,1,0,,485904
04,001,112,0001 ,0003,X,0057,2,0,,485905
04,001,112,0001 ,0003,X,0081,3,3,,485906
04,001,112,0001 ,0003,X,0131,4,32,,485907
04,001,112,0001 ,0003,X,0132,5,14,,485908
04,001,112,0001 ,0003,X,0133,6,7,,485909
04,001,112,0001 ,0003,X,0134,7,3,,485910
04,001,112,0001 ,0003,X,0135,8,107,,485911
04,001,112,0001 ,0003,X,0136,9,0,,485912
04,001,112,0001 ,0003,X,0137,10,11,,485913
04,001,112,0001 ,0003,X,0138,11,46,,485914
04,001,112,0001 ,0004,X,0013,1,0,,485915
04,001,112,0001 ,0004,X,0057,2,2,,485916
04,001,112,0001 ,0004,X,0081,3,2,,485917
04,001,112,0001 ,0004,X,0131,4,33,,485918
04,001,112,0001 ,0004,X,0132,5,9,,485919
