parCodigo,parSiglas,parDenominacion,parColor,rowid
0003,UNION CIVICA RADICAL     ,UNION CIVICA RADICAL                                                                                ,595959,1
0012,COMUNISTA                ,COMUNISTA                                                                                           ,FF0000,2
0013,MOVIMIENTO AL SOCIALISMO ,MOVIMIENTO AL SOCIALISMO                                                                            ,a30501,3
0023,UNION POPULAR            ,UNION POPULAR                                                                                       ,C00000,4
0030,SOCIALISTA AUTENTICO     ,SOCIALISTA AUTENTICO                                                                                ,F79646,5
0038,MST-MOVIMIENTO SOCIALISTA,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ,F79646,6
0040,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR                                                                           ,820000,7
0050,SOCIALISTA               ,SOCIALISTA                                                                                          ,66CCFF,8
0057,MOVIMIENTO DE ACCION VECI,MOVIMIENTO DE ACCION VECINAL                                                                        ,008000,9
0060,MOVIMIENTO INDEPENDIENTE ,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ,CC0000,10
0061,IZQUIERDA POR UNA OPCION ,IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ,00B0F0,11
0063,ES POSIBLE               ,ES POSIBLE                                                                                          ,FFFF99,12
0065,UNION CELESTE Y BLANCO   ,UNION CELESTE Y BLANCO                                                                              ,FF5050,13
0068,NUEVA IZQUIERDA          ,NUEVA IZQUIERDA                                                                                     ,FF9933,14
0069,GEN                      ,GEN                                                                                                 ,FFFF00,15
0070,DE TRABAJADORES POR EL SO,DE TRABAJADORES POR EL SOCIALISMO                                                                   ,CC3300,16
0071,DEL OBRERO               ,DEL OBRERO                                                                                          ,DDD9C3,17
0072,INSTRUMENTO ELECTORAL POR,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ,CCC0DA,18
0074,PARTIDO DEL TRABAJO Y DEL,PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    ,8C6E6E,19
