Seccion,Circuito,Escuela,Direccion,votos,Mesa desde, Mesa hasta,Lat,Long
1,1,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,1658,1,7,-64.1896544568,-31.4146374528
1,1,COL NAC DE MONSERRAT,OBISPO TREJO 294,4031,20,36,-64.1865476207,-31.4192433227
1,1,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,2821,8,19,-64.1887875291,-31.4177066297
1,1,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,2336,37,46,-64.1860599352,-31.4174905066
1,2,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 486,3744,47,63,-64.1842588827,-31.409652285
1,3,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,3510,64,78,-64.1915263842,-31.4099415115
1,3,ESC MARIANO MORENO,SANTA ROSA ESQ SANTA FE,3526,108,121,-64.2001500243,-31.4078542903
1,3,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,2525,98,107,-64.1959291144,-31.4101741415
1,3,ESC SANTO TOMAS,CASEROS 745,1974,90,97,-64.195136179,-31.4156522511
1,3,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,2767,79,89,-64.1953629963,-31.4127168048
1,4,COL NACIONAL DEAN FUNES,PERU 10,3905,132,147,-64.1895759427,-31.4313779956
1,4,ENET N° 3 LEOPOLDO LUGONES,ITUZAINGO 483,2482,122,131,-64.1831800723,-31.4228801422
1,4,FAC DE CIENCIAS ECONOMICAS,AV VALPARAISO CDAD  UNIVERSITARIA,3753,157,172,-64.1870740199,-31.434911566
1,4,IPEM 38 FRANC. PABLO DE MAURO,PAUNERO Y ARENAL,1720,173,179,-64.1795569361,-31.4340362213
1,5,ESC ESPAÑA,M BRAVO Y ENTRE RIOS,3939,303,317,-64.1221285249,-31.4255580436
1,5,ESC ESTANISLAO DEL CAMPO,ESTADOS UNIDOS Y RIO 1°  B°ALTAMIRA,1352,326,331,-64.1325326158,-31.4237667546
1,5,ESC M FRAGUEIRO,ENTRE RIOS 3373 B°PQUE SAN  VICENTE,2580,332,342,-64.1413950448,-31.4250466635
1,5,ESC PANAMERICANA,SOTO 919 - B°ACOST,2087,318,325,-64.1253711731,-31.4217392587
1,6,COL SAN RAMON NONATO,AVDA PATRIA 282 B°ALTO GRAL  PA,1779,544,550,-64.15753617,-31.410499245
1,6,ESC TENIENTE GRAL ARAMBURU,GARIBALDI 710 B°ALTO GRAL  PAZ,2252,535,543,-64.1565783512,-31.4051397395
1,7,ESC J FUNES DE BONET,CNO PAJAS BLANCAS KM 8,160,636,636,-64.2081540977,-31.3293414938
