seccion,circuito,mesa,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO DE ACCION VECINAL,PARTIDO POPULAR,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA PROGRESISTAS,ALIANZA COMPROMISO FEDERAL,MST - NUEVA IZQUIERDA,ALIANZA CAMBIEMOS,ALIANZA FRENTE POPULAR,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)
023,347A,7901,0,0,1,7,1,3,1,94,1,0,90
023,339,7799,0,1,0,70,2,5,0,38,1,1,98
023,339,7798,2,0,1,81,4,4,0,63,1,0,71
023,339,7802,2,2,2,76,0,7,0,30,0,1,81
023,339,7801,1,0,2,75,5,4,0,48,1,2,86
023,339,7800,1,0,0,69,2,3,0,38,3,1,95
023,338,7793,1,0,1,13,0,3,2,80,2,3,159
023,338,7795,0,0,0,17,4,2,0,87,0,5,152
023,338,7794,1,0,1,21,0,2,1,62,3,3,171
023,338,7797,0,0,1,19,4,5,0,91,3,2,148
023,338,7796,2,0,0,12,5,4,0,87,1,6,147
023,337,7788,1,0,2,107,2,2,0,88,1,2,57
023,337,7789,0,0,2,90,3,1,0,92,0,3,71
023,337,7786,1,0,0,80,4,2,1,96,3,5,68
023,337,7787,0,0,0,87,3,3,1,88,1,2,91
023,337,7784,3,0,0,89,1,2,0,109,0,4,58
023,337,7785,0,0,0,94,6,3,0,102,0,1,65
023,337,7790,1,1,1,103,1,3,0,95,0,2,62
023,336,7777,1,0,2,37,6,8,1,58,0,6,136
023,336,7776,0,0,0,51,11,9,0,73,0,4,116
023,336,7775,1,1,0,34,5,8,1,60,0,11,150
023,336,7774,0,2,1,21,5,9,0,50,0,6,163
023,336,7773,0,0,1,33,7,9,3,56,1,5,153
023,336,7772,1,1,0,37,7,7,0,91,0,7,110
023,336,7771,1,2,3,29,6,9,0,91,2,1,96
023,336,7770,0,1,1,44,7,12,0,69,0,9,107
023,336,7755,1,0,0,33,2,11,0,77,1,4,132
023,336,7759,1,0,1,33,3,17,0,58,2,1,140
023,336,7757,2,2,1,40,13,5,1,86,0,4,115
023,336,7756,0,1,0,38,5,9,2,68,1,2,112
023,336,7779,0,0,1,30,3,16,1,83,1,7,119
023,336,7758,0,1,0,44,8,14,0,64,1,5,124
023,336,7754,0,0,0,42,6,15,0,45,2,3,150
023,336,7782,1,1,0,50,6,8,0,58,1,8,129
023,336,7783,1,2,1,34,4,10,4,78,0,7,133
023,336,7780,0,3,1,25,8,14,2,55,0,8,136
023,336,7781,0,2,0,30,6,5,2,64,2,10,140
023,336,7764,2,0,2,38,5,10,1,90,1,4,118
023,336,7765,0,0,0,42,3,15,0,62,1,4,131
