TOTAL PAIS
,ELECTORES HABILES ,32.067.641,,
,MESAS: ,95.111,,
,PORCENTAJE DE VOTANTES ,"74,91%",,
,FORMULAS - AGRUPACIONES POLITICAS ,VOTOS ,% POSITIVOS ,% VALIDOS
  131 ,ALIANZA FRENTE PARA LA VICTORIA ,8.720.573 ,"38,67% ","36,69%"
,"SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO",8.720.573 ,100%,
  135 ,ALIANZA CAMBIEMOS ,6.791.278 ,"30,12% ","28,57%"
,"MACRI, MAURICIO - MICHETTI, MARTA GABRIELA  ",5.523.413 ,"81,33%",
,"SANZ, ERNESTO RICARDO - LLACH, LUCAS",753.825 ,"11,10%",
,"CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO",514.040 ,"7,57%",
  138 ,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA) ,4.639.405 ,"20,57% ","19,52%"
,"MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO",3.230.887 ,"69,64%",
,"DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA",1.408.518 ,"30,36%",
  132 ,ALIANZA PROGRESISTAS ,781.472 ,"3,47% ","3,29%"
,"STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL",781.472 ,100%,
  137 ,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ,732.851 ,"3,25% ","3,08%"
,"DEL CAÑO, NICOLAS - BREGMAN, MYRIAM TERESA",375.874 ,"51,29%",
,"ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS",356.977 ,"48,71%",
  133 ,ALIANZA COMPROMISO FEDERAL ,472.341 ,"2,09% ","1,99%"
,"RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA",472.341 ,100%,
  136 ,ALIANZA FRENTE POPULAR ,106.324 ,"0,47% ","0,45%"
,"DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD",106.324 ,100%,
13 ,MOVIMIENTO AL SOCIALISMO ,103.742 ,"0,46% ","0,44%"
,"CASTAÑEIRA, MANUELA JIMENA - AYALA, JORGE LUIS",103.742 ,100%,
  134 ,MST - NUEVA IZQUIERDA ,95.780 ,"0,42% ","0,40%"
,"BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA",95.780 ,100%,
81 ,PARTIDO POPULAR ,67.798 ,"0,30% ","0,29%"
,"YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN",67.798 ,100%,
57 ,MOVIMIENTO DE ACCION VECINAL ,39.512 ,"0,18% ","0,17%"
,"ALBARRACIN, RAUL HUMBERTO - DIB, GASTON  ",39.512 ,100%,
,VOTOS POSITIVOS  ,  22.551.076 ,"93,88%",
,VOTOS EN BLANCO  ,1.216.634 ,"5,06%",
