CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;CODIGO VOTOS;VOTOS
4;1;1;1;9001;343
4;1;1;1;9002;211
4;1;1;1;9003;0
4;1;1;1;9004;3
4;1;1;1;9005;0
4;1;1;1;9006;0
4;1;1;1;3253;1
4;1;1;1;3172;2
4;1;1;1;3217;1
4;1;1;1;3166;30
4;1;1;1;3008;8
4;1;1;1;3100;6
4;1;1;1;3018;1
4;1;1;1;3185;5
4;1;1;1;3243;4
4;1;1;1;3182;105
4;1;1;1;3234;0
4;1;1;1;3014;5
4;1;1;1;3261;10
4;1;1;1;3192;11
4;1;1;1;3214;19
4;1;1;2;9001;344
4;1;1;2;9002;232
4;1;1;2;9003;0
4;1;1;2;9004;2
4;1;1;2;9005;5
4;1;1;2;9006;0
4;1;1;2;3253;1
4;1;1;2;3172;2
4;1;1;2;3217;0
4;1;1;2;3166;24
4;1;1;2;3008;17
4;1;1;2;3100;4
4;1;1;2;3018;0
4;1;1;2;3185;10
4;1;1;2;3243;13
4;1;1;2;3182;95
4;1;1;2;3234;3
4;1;1;2;3014;6
4;1;1;2;3261;4
4;1;1;2;3192;16
4;1;1;2;3214;30
4;1;1;3;9001;344
4;1;1;3;9002;228
4;1;1;3;9003;0
4;1;1;3;9004;5
4;1;1;3;9005;1
4;1;1;3;9006;0
4;1;1;3;3253;0
4;1;1;3;3172;0
4;1;1;3;3217;3
4;1;1;3;3166;32
4;1;1;3;3008;14
4;1;1;3;3100;7
4;1;1;3;3018;3
4;1;1;3;3185;7
4;1;1;3;3243;12
4;1;1;3;3182;88
4;1;1;3;3234;0
4;1;1;3;3014;4
4;1;1;3;3261;7
4;1;1;3;3192;24
4;1;1;3;3214;22
4;1;1;4;9001;345
4;1;1;4;9002;234
4;1;1;4;9003;0
4;1;1;4;9004;2
4;1;1;4;9005;1
4;1;1;4;9006;0
4;1;1;4;3253;0
4;1;1;4;3172;2
4;1;1;4;3217;2
4;1;1;4;3166;33
4;1;1;4;3008;9
4;1;1;4;3100;3
4;1;1;4;3018;7
4;1;1;4;3185;7
4;1;1;4;3243;6
4;1;1;4;3182;105
4;1;1;4;3234;0
4;1;1;4;3014;7
4;1;1;4;3261;4
4;1;1;4;3192;13
4;1;1;4;3214;33
4;1;1;5;9001;344
4;1;1;5;9002;242
4;1;1;5;9003;0
4;1;1;5;9004;5
4;1;1;5;9005;3
4;1;1;5;9006;0
4;1;1;5;3253;2
4;1;1;5;3172;0
4;1;1;5;3217;2
4;1;1;5;3166;36
4;1;1;5;3008;11
4;1;1;5;3100;4
4;1;1;5;3018;7
4;1;1;5;3185;10
4;1;1;5;3243;10
4;1;1;5;3182;95
4;1;1;5;3234;3
4;1;1;5;3014;1
4;1;1;5;3261;7
4;1;1;5;3192;12
4;1;1;5;3214;34
4;1;1;6;9001;346
4;1;1;6;9002;221
4;1;1;6;9003;0
4;1;1;6;9004;2
4;1;1;6;9005;0
4;1;1;6;9006;1
4;1;1;6;3253;1
4;1;1;6;3172;0
4;1;1;6;3217;0
4;1;1;6;3166;23
4;1;1;6;3008;13
4;1;1;6;3100;6
4;1;1;6;3018;3
4;1;1;6;3185;16
4;1;1;6;3243;9
4;1;1;6;3182;97
4;1;1;6;3234;2
4;1;1;6;3014;6
4;1;1;6;3261;7
4;1;1;6;3192;7
4;1;1;6;3214;28
4;1;1;7;9001;344
4;1;1;7;9002;238
4;1;1;7;9003;0
4;1;1;7;9004;4
4;1;1;7;9005;1
4;1;1;7;9006;0
4;1;1;7;3253;2
4;1;1;7;3172;1
4;1;1;7;3217;0
4;1;1;7;3166;34
4;1;1;7;3008;11
4;1;1;7;3100;4
4;1;1;7;3018;2
4;1;1;7;3185;8
4;1;1;7;3243;10
4;1;1;7;3182;106
4;1;1;7;3234;0
4;1;1;7;3014;5
4;1;1;7;3261;6
4;1;1;7;3192;7
4;1;1;7;3214;37
4;1;1;8;9001;345
4;1;1;8;9002;230
4;1;1;8;9003;0
4;1;1;8;9004;2
4;1;1;8;9005;4
4;1;1;8;9006;0
4;1;1;8;3253;0
4;1;1;8;3172;1
4;1;1;8;3217;0
4;1;1;8;3166;38
4;1;1;8;3008;9
4;1;1;8;3100;6
4;1;1;8;3018;0
4;1;1;8;3185;3
4;1;1;8;3243;5
