0002;JUSTICIALISTA                                     ;JUSTICIALISTA                                                                                       ;
0003;UNION CIVICA RADICAL                              ;UNION CIVICA RADICAL                                                                                ;
0012;COMUNISTA                                         ;COMUNISTA                                                                                           ;
0013;MOVIMIENTO AL SOCIALISMO                          ;MOVIMIENTO AL SOCIALISMO                                                                            ;
0023;UNION POPULAR                                     ;UNION POPULAR                                                                                       ;
0030;SOCIALISTA AUTENTICO                              ;SOCIALISTA AUTENTICO                                                                                ;
0038;MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES     ;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;
0040;MOVIMIENTO LIBRES DEL SUR                         ;MOVIMIENTO LIBRES DEL SUR                                                                           ;
0041;KOLINA                                            ;KOLINA                                                                                              ;
0042;ENCUENTRO CIUDADANO                               ;ENCUENTRO CIUDADANO                                                                                 ;
0043;COALICION CIVICA ARI                              ;COALICION CIVICA ARI                                                                                ;
0044;DE LA VICTORIA                                    ;DE LA VICTORIA                                                                                      ;
0045;DESARROLLO SANTACRUCEÑO                           ;DESARROLLO SANTACRUCEÑO                                                                             ;
0046;PRIMERO SANTA CRUZ                                ;PRIMERO SANTA CRUZ                                                                                  ;
0047;SOCIALISMO SANTACRUCEÑO                           ;SOCIALISMO SANTACRUCEÑO                                                                             ;
0050;SOCIALISTA                                        ;SOCIALISTA                                                                                          ;
0057;MOVIMIENTO DE ACCION VECINAL                      ;MOVIMIENTO DE ACCION VECINAL                                                                        ;
0060;MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD      ;MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ;
0061;IZQUIERDA POR UNA OPCION SOCIALISTA               ;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;
0063;ES POSIBLE                                        ;ES POSIBLE                                                                                          ;
0065;UNION CELESTE Y BLANCO                            ;UNION CELESTE Y BLANCO                                                                              ;
0068;NUEVA IZQUIERDA                                   ;NUEVA IZQUIERDA                                                                                     ;
0069;GEN                                               ;GEN                                                                                                 ;
0070;DE TRABAJADORES POR EL SOCIALISMO                 ;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;
0071;DEL OBRERO                                        ;DEL OBRERO                                                                                          ;
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR       ;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;
0074;PARTIDO DEL TRABAJO Y DEL PUEBLO                  ;PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    ;
0076;DE LA CULTURA LA EDUCACION Y EL TRABAJO           ;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;
0081;PARTIDO POPULAR                                   ;PARTIDO POPULAR                                                                                     ;
0103;FRENTE DE IZQUIERDA Y LOS TRABAJADORES            ;FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ;
0131;ALIANZA FRENTE PARA LA VICTORIA                   ;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;
0132;ALIANZA PROGRESISTAS                              ;ALIANZA PROGRESISTAS                                                                                ;
0133;ALIANZA COMPROMISO FEDERAL                        ;ALIANZA COMPROMISO FEDERAL                                                                          ;
0134;MST - NUEVA IZQUIERDA                             ;MST - NUEVA IZQUIERDA                                                                               ;
0135;ALIANZA CAMBIEMOS                                 ;ALIANZA CAMBIEMOS                                                                                   ;
0136;ALIANZA FRENTE POPULAR                            ;ALIANZA FRENTE POPULAR                                                                              ;
0137;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;
0138;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)    ;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;
0144;MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES     ;MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ;
0145;CAMBIEMOS BUENOS AIRES                            ;CAMBIEMOS BUENOS AIRES                                                                              ;
0146;CAMBIEMOS SALTA                                   ;CAMBIEMOS SALTA                                                                                     ;
0151;MOVIMIENTO POPULAR NEUQUINO                       ;MOVIMIENTO POPULAR NEUQUINO                                                                         ;
0152;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA G;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ;
0153;CRUZADA RENOVADORA                                ;CRUZADA RENOVADORA                                                                                  ;
0154;MOVIMIENTO POPULAR FUEGUINO                       ;MOVIMIENTO POPULAR FUEGUINO                                                                         ;
0155;MOVIMIENTO UNION DEL PARTIDO DE PINAMAR           ;MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ;
0157;DE ACCION CHUBUTENSE                              ;DE ACCION CHUBUTENSE                                                                                ;
0161;OBRERO                                            ;OBRERO                                                                                              ;
0165;NUEVO OCTUBRE                                     ;NUEVO OCTUBRE                                                                                       ;
0169;PROYECTO POPULAR                                  ;PROYECTO POPULAR                                                                                    ;
0177;PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA     ;PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       ;
0179;FRENTE CAMBIA JUJUY                               ;FRENTE CAMBIA JUJUY                                                                                 ;
0180;DEL CAMPO POPULAR                                 ;DEL CAMPO POPULAR                                                                                   ;
0186;AUTODETERMINACION Y LIBERTAD                      ;AUTODETERMINACION Y LIBERTAD                                                                        ;
0187;SOCIAL PATAGONICO                                 ;SOCIAL PATAGONICO                                                                                   ;
0188;UNITE POR LA LIBERTAD Y LA DIGNIDAD               ;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;
0189;PARTIDO CIUDADANOS A GOBERNAR                     ;PARTIDO CIUDADANOS A GOBERNAR                                                                       ;
0190;MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR           ;MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR                                                             ;
0194;MOVIMIENTO VECINAL                                ;MOVIMIENTO VECINAL                                                                                  ;
0198;DE LOS TRABAJADORES SOCIALISTAS                   ;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;
0202;FRENTE RENOVADOR AUTENTICO                        ;FRENTE RENOVADOR AUTENTICO                                                                          ;
0203;INSTRUMENTO ELECTORAL                             ;INSTRUMENTO ELECTORAL                                                                               ;
0208;POR UN PUEBLO UNIDO                               ;POR UN PUEBLO UNIDO                                                                                 ;
0212;PRINCIPIOS Y CONVICCION                           ;PRINCIPIOS Y CONVICCION                                                                             ;
0268;MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU          ;MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU                                                            ;
0298;TODOS POR BUENOS AIRES                            ;TODOS POR BUENOS AIRES                                                                              ;
0301;PATRIA GRANDE                                     ;PATRIA GRANDE                                                                                       ;
0302;BANDERA VECINAL                                   ;BANDERA VECINAL                                                                                     ;
0333;FUERZA ORG. RENOV. DEMOCRATICA                    ;FUERZA ORG. RENOV. DEMOCRATICA                                                                      ;
0427;JUNTOS POR SAN JUAN                               ;JUNTOS POR SAN JUAN                                                                                 ;
0446;AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE      ;AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE                                                        ;
0484;NUEVA ALTERNATIVA CARMEÑA                         ;NUEVA ALTERNATIVA CARMEÑA                                                                           ;
0501;ALIANZA FRENTE PARA LA VICTORIA                   ;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;
0502;ALIANZA CAMBIEMOS                                 ;ALIANZA CAMBIEMOS                                                                                   ;
0503;ALIANZA COMPROMISO FEDERAL                        ;ALIANZA COMPROMISO FEDERAL                                                                          ;
0504;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;
0506;ALIANZA PROGRESISTAS                              ;ALIANZA PROGRESISTAS                                                                                ;
0507;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA          ;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            ;
0509;ALIANZA UNION PARA VIVIR MEJOR                    ;ALIANZA UNION PARA VIVIR MEJOR                                                                      ;
0510;ALIANZA UNION POR CORDOBA                         ;ALIANZA UNION POR CORDOBA                                                                           ;
0514;ALIANZA CAMBIEMOS MENDOZA                         ;ALIANZA CAMBIEMOS MENDOZA                                                                           ;
0517;ALIANZA CAMBIEMOS TIERRA DEL FUEGO                ;ALIANZA CAMBIEMOS TIERRA DEL FUEGO                                                                  ;
0518;ALIANZA COMPROMISO CON SAN JUAN                   ;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;
0519;ALIANZA ENCUENTRO POR CORRIENTES                  ;ALIANZA ENCUENTRO POR CORRIENTES                                                                    ;
0520;ALIANZA FRENTE AMPLIO FORMOSEÑO                   ;ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ;
0521;ALIANZA FRENTE AMPLIO PODEMOS                     ;ALIANZA FRENTE AMPLIO PODEMOS                                                                       ;
0522;ALIANZA FRENTE CAMBIEMOS                          ;ALIANZA FRENTE CAMBIEMOS                                                                            ;
0523;ALIANZA CAMBIEMOS RIO NEGRO                       ;ALIANZA CAMBIEMOS RIO NEGRO                                                                         ;
0524;ALIANZA FRENTE CIVICO Y SOCIAL                    ;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;
0525;ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL        ;ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          ;
0526;ALIANZA FRENTE PROGRESISTA POPULAR                ;ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ;
0527;ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA ;ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA                                                   ;
0528;ALIANZA FRENTE TERCERA POSICION                   ;ALIANZA FRENTE TERCERA POSICION                                                                     ;
0529;ALIANZA FRENTE UNIDOS                             ;ALIANZA FRENTE UNIDOS                                                                               ;
0530;ALIANZA CAMBIEMOS CHUBUT                          ;ALIANZA CAMBIEMOS CHUBUT                                                                            ;
0531;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS           ;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ;
0532;ALIANZA FRENTE CIVICO Y SOCIAL                    ;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;
0533;FRENTE CIVICO PARA LA VICTORIA                    ;FRENTE CIVICO PARA LA VICTORIA                                                                      ;
